2005-09-12,143,120
2005-09-13,134,95
2005-09-14,141,88
2005-09-15,134,98
2005-09-16,161,139
2005-09-17,122,121
2005-09-18,103,135
2005-09-19,167,130
2005-09-20,146,110
2005-09-21,142,148
2005-09-22,166,145
2005-09-23,208,137
2005-09-24,95,153
2005-09-25,94,112
2005-09-26,134,116
2005-09-27,177,117
2005-09-28,135,111
2005-09-29,151,113
2005-09-30,213,151
2005-10-01,144,140
2005-10-02,99,134
2005-10-03,141,114
2005-10-04,142,108
2005-10-05,145,100
2005-10-06,131,118
2005-10-07,196,154
2005-10-08,109,147
2005-10-09,99,149
2005-10-10,157,146
2005-10-11,164,121
2005-10-12,162,107
2005-10-13,126,117
2005-10-14,168,141
2005-10-15,152,151
2005-10-16,94,122
2005-10-17,139,118
2005-10-18,140,120
2005-10-19,158,105
2005-10-20,186,93
2005-10-21,173,134
2005-10-22,132,113
2005-10-23,78,97
2005-10-24,109,101
2005-10-25,136,118
2005-10-26,132,115
2005-10-27,162,143
2005-10-28,153,115
2005-10-29,103,139
2005-10-30,108,113
2005-10-31,117,109
2005-11-01,92,78
2005-11-02,176,115
2005-11-03,139,117
2005-11-04,180,139
2005-11-05,116,106
2005-11-06,72,103
2005-11-07,155,111
2005-11-08,152,118
2005-11-09,168,123
2005-11-10,156,135
2005-11-11,92,118
2005-11-12,131,127
2005-11-13,96,90
2005-11-14,141,120
2005-11-15,164,103
2005-11-16,159,103
2005-11-17,136,113
2005-11-18,180,142
2005-11-19,118,131
2005-11-20,73,97
2005-11-21,164,109
2005-11-22,172,119
2005-11-23,168,108
2005-11-24,154,113
2005-11-25,183,161
2005-11-26,116,113
2005-11-27,103,80
2005-11-28,150,96
2005-11-29,161,119
2005-11-30,144,127
2005-12-01,171,104
2005-12-02,179,142
2005-12-03,155,122
2005-12-04,112,106
2005-12-05,147,105
2005-12-06,127,139
2005-12-07,144,126
2005-12-08,162,141
2005-12-09,174,134
2005-12-10,128,132
2005-12-11,74,98
2005-12-12,102,112
2005-12-13,114,107
2005-12-14,115,106
2005-12-15,141,134
2005-12-16,191,158
2005-12-17,111,128
2005-12-18,104,91
2005-12-19,161,110
2005-12-20,136,114
2005-12-21,113,87
2005-12-22,128,109
2005-12-23,159,138
2005-12-24,80,108
2005-12-25,53,82
2005-12-26,78,81
2005-12-27,65,81
2005-12-28,73,63
2005-12-29,68,49
2005-12-30,86,72
2005-12-31,83,76
2006-01-01,76,75
2006-01-02,76,52
2006-01-03,100,88
2006-01-04,115,93
2006-01-05,87,98
2006-01-06,122,101
2006-01-07,104,83
2006-01-08,68,77
2006-01-09,115,96
2006-01-10,142,102
2006-01-11,159,113
2006-01-12,145,109
2006-01-13,157,124
2006-01-14,118,126
2006-01-15,75,80
2006-01-16,116,96
2006-01-17,163,96
2006-01-18,130,86
2006-01-19,119,105
2006-01-20,156,100
2006-01-21,101,111
2006-01-22,62,80
2006-01-23,104,87
2006-01-24,139,89
2006-01-25,128,95
2006-01-26,95,88
2006-01-27,116,88
2006-01-28,74,81
2006-01-29,44,69
2006-01-30,97,91
2006-01-31,134,109
2006-02-01,124,86
2006-02-02,131,102
2006-02-03,132,91
2006-02-04,95,87
2006-02-05,66,69
2006-02-06,96,82
2006-02-07,99,89
2006-02-08,131,75
2006-02-09,138,80
2006-02-10,120,108
2006-02-11,107,116
2006-02-12,63,67
2006-02-13,112,86
2006-02-14,130,102
2006-02-15,128,76
2006-02-16,106,86
2006-02-17,105,103
2006-02-18,104,91
2006-02-19,85,74
2006-02-20,96,75
2006-02-21,106,67
2006-02-22,85,70
2006-02-23,83,73
2006-02-24,112,81
2006-02-25,83,98
2006-02-26,73,58
2006-02-27,100,74
2006-02-28,127,91
2006-03-01,147,93
2006-03-02,99,84
2006-03-03,116,114
2006-03-04,78,95
2006-03-05,79,74
2006-03-06,109,85
2006-03-07,138,89
2006-03-08,145,60
2006-03-09,144,98
2006-03-10,112,100
2006-03-11,88,101
2006-03-12,62,76
2006-03-13,116,73
2006-03-14,123,92
2006-03-15,121,93
2006-03-16,107,89
2006-03-17,138,101
2006-03-18,102,108
2006-03-19,75,81
2006-03-20,116,72
2006-03-21,92,84
2006-03-22,124,66
2006-03-23,121,95
2006-03-24,144,102
2006-03-25,122,92
2006-03-26,73,95
2006-03-27,104,77
2006-03-28,126,82
2006-03-29,115,94
2006-03-30,124,85
2006-03-31,126,109
2006-04-01,112,101
2006-04-02,79,98
2006-04-03,133,92
2006-04-04,146,114
2006-04-05,125,93
2006-04-06,139,116
2006-04-07,139,153
2006-04-08,147,132
2006-04-09,84,92
2006-04-10,118,79
2006-04-11,128,96
2006-04-12,112,81
2006-04-13,101,99
2006-04-14,127,112
2006-04-15,85,106
2006-04-16,75,100
2006-04-17,71,73
2006-04-18,125,85
2006-04-19,112,88
2006-04-20,122,93
2006-04-21,142,125
2006-04-22,111,146
2006-04-23,101,107
2006-04-24,125,110
2006-04-25,134,74
2006-04-26,123,76
2006-04-27,108,99
2006-04-28,129,102
2006-04-29,101,105
2006-04-30,87,92
2006-05-01,75,85
2006-05-02,137,110
2006-05-03,154,100
2006-05-04,133,97
2006-05-05,167,94
2006-05-06,119,109
2006-05-07,88,100
2006-05-08,68,79
2006-05-09,149,83
2006-05-10,121,98
2006-05-11,136,105
2006-05-12,133,107
2006-05-13,102,139
2006-05-14,86,116
2006-05-15,105,98
2006-05-16,157,105
2006-05-17,144,89
2006-05-18,128,87
2006-05-19,148,126
2006-05-20,114,116
2006-05-21,80,113
2006-05-22,130,92
2006-05-23,145,90
2006-05-24,154,114
2006-05-25,68,97
2006-05-26,116,106
2006-05-27,89,98
2006-05-28,94,90
2006-05-29,153,112
2006-05-30,158,112
2006-05-31,174,69
2006-06-01,137,88
2006-06-02,166,153
2006-06-03,137,129
2006-06-04,87,118
2006-06-05,92,74
2006-06-06,179,140
2006-06-07,156,121
2006-06-08,162,108
2006-06-09,171,159
2006-06-10,131,134
2006-06-11,103,144
2006-06-12,160,125
2006-06-13,153,132
2006-06-14,149,109
2006-06-15,137,110
2006-06-16,172,126
2006-06-17,130,157
2006-06-18,98,111
2006-06-19,128,116
2006-06-20,148,125
2006-06-21,124,130
2006-06-22,152,132
2006-06-23,146,140
2006-06-24,114,143
2006-06-25,107,107
2006-06-26,138,100
2006-06-27,154,118
2006-06-28,140,102
2006-06-29,148,118
2006-06-30,155,133
2006-07-01,136,162
2006-07-02,108,134
2006-07-03,172,123
2006-07-04,158,110
2006-07-05,170,141
2006-07-06,157,115
2006-07-07,160,113
2006-07-08,101,133
2006-07-09,83,116
2006-07-10,135,96
2006-07-11,121,134
2006-07-12,129,114
2006-07-13,164,116
2006-07-14,77,101
2006-07-15,93,124
2006-07-16,76,111
2006-07-17,143,93
2006-07-18,132,116
2006-07-19,133,127
2006-07-20,134,89
2006-07-21,121,122
2006-07-22,99,126
2006-07-23,79,108
2006-07-24,113,98
2006-07-25,114,124
2006-07-26,118,128
2006-07-27,126,98
2006-07-28,143,140
2006-07-29,89,120
2006-07-30,87,120
2006-07-31,107,107
2006-08-01,118,90
2006-08-02,117,111
2006-08-03,103,91
2006-08-04,111,101
2006-08-05,101,116
2006-08-06,68,108
2006-08-07,103,64
2006-08-08,96,94
2006-08-09,78,92
2006-08-10,102,95
2006-08-11,108,102
2006-08-12,75,102
2006-08-13,72,101
2006-08-14,80,87
2006-08-15,64,95
2006-08-16,104,83
2006-08-17,87,72
2006-08-18,103,80
2006-08-19,83,86
2006-08-20,78,101
2006-08-21,106,93
2006-08-22,104,90
2006-08-23,111,117
2006-08-24,106,106
2006-08-25,120,119
2006-08-26,89,120
2006-08-27,58,119
2006-08-28,116,106
2006-08-29,138,86
2006-08-30,111,103
2006-08-31,121,113
2006-09-01,128,145
2006-09-02,82,109
2006-09-03,80,117
2006-09-04,120,95
2006-09-05,150,97
2006-09-06,142,104
2006-09-07,157,102
2006-09-08,167,135
2006-09-09,125,162
2006-09-10,85,131
2006-09-11,138,105
2006-09-12,154,103
2006-09-13,138,123
2006-09-14,160,90
2006-09-15,183,124
2006-09-16,121,122
2006-09-17,81,98
2006-09-18,156,83
2006-09-19,155,95
2006-09-20,153,124
2006-09-21,146,117
2006-09-22,168,122
2006-09-23,145,138
2006-09-24,76,117
2006-09-25,146,95
2006-09-26,169,109
2006-09-27,128,116
2006-09-28,140,100
2006-09-29,152,127
2006-09-30,123,116
2006-10-01,92,103
2006-10-02,168,85
2006-10-03,164,137
2006-10-04,169,105
2006-10-05,154,106
2006-10-06,166,133
2006-10-07,154,130
2006-10-08,96,115
2006-10-09,156,116
2006-10-10,129,95
2006-10-11,150,102
2006-10-12,168,111
2006-10-13,179,120
2006-10-14,120,130
2006-10-15,93,115
2006-10-16,153,105
2006-10-17,142,87
2006-10-18,166,89
2006-10-19,163,110
2006-10-20,190,122
2006-10-21,112,101
2006-10-22,94,92
2006-10-23,154,99
2006-10-24,146,90
2006-10-25,134,107
2006-10-26,145,100
2006-10-27,159,164
2006-10-28,129,109
2006-10-29,114,77
2006-10-30,166,113
2006-10-31,124,100
2006-11-01,83,89
2006-11-02,141,113
2006-11-03,130,121
2006-11-04,95,100
2006-11-05,81,96
2006-11-06,153,91
2006-11-07,142,107
2006-11-08,153,117
2006-11-09,145,107
2006-11-10,179,148
2006-11-11,111,97
2006-11-12,89,102
2006-11-13,168,95
2006-11-14,157,106
2006-11-15,171,115
2006-11-16,182,109
2006-11-17,218,146
2006-11-18,173,147
2006-11-19,91,118
2006-11-20,144,92
2006-11-21,176,106
2006-11-22,175,96
2006-11-23,201,120
2006-11-24,163,123
2006-11-25,98,97
2006-11-26,92,100
2006-11-27,125,76
2006-11-28,185,105
2006-11-29,161,111
2006-11-30,147,79
2006-12-01,177,121
2006-12-02,119,121
2006-12-03,90,96
2006-12-04,162,106
2006-12-05,198,95
2006-12-06,135,121
2006-12-07,179,121
2006-12-08,220,124
2006-12-09,154,128
2006-12-10,91,86
2006-12-11,179,118
2006-12-12,174,111
2006-12-13,160,102
2006-12-14,152,139
2006-12-15,187,134
2006-12-16,144,123
2006-12-17,104,104
2006-12-18,139,113
2006-12-19,151,110
2006-12-20,183,106
2006-12-21,143,128
2006-12-22,159,188
2006-12-23,121,118
2006-12-24,50,76
2006-12-25,38,53
2006-12-26,92,71
2006-12-27,81,63
2006-12-28,97,82
2006-12-29,101,92
2006-12-30,78,95
2006-12-31,70,64
2007-01-01,85,82
2007-01-02,109,89
2007-01-03,102,80
2007-01-04,105,83
2007-01-05,119,102
2007-01-06,127,96
2007-01-07,56,76
2007-01-08,159,104
2007-01-09,157,83
2007-01-10,158,111
2007-01-11,139,114
2007-01-12,155,113
2007-01-13,108,99
2007-01-14,86,90
2007-01-15,136,98
2007-01-16,133,71
2007-01-17,128,89
2007-01-18,150,82
2007-01-19,172,100
2007-01-20,136,107
2007-01-21,71,87
2007-01-22,114,83
2007-01-23,129,102
2007-01-24,94,63
2007-01-25,125,64
2007-01-26,127,65
2007-01-27,99,106
2007-01-28,70,60
2007-01-29,125,67
2007-01-30,102,91
2007-01-31,109,76
2007-02-01,152,97
2007-02-02,156,106
2007-02-03,123,103
2007-02-04,94,92
2007-02-05,119,71
2007-02-06,135,96
2007-02-07,154,80
2007-02-08,165,100
2007-02-09,167,118
2007-02-10,126,103
2007-02-11,84,92
2007-02-12,148,72
2007-02-13,152,75
2007-02-14,134,85
2007-02-15,132,109
2007-02-16,134,100
2007-02-17,88,101
2007-02-18,90,88
2007-02-19,100,88
2007-02-20,112,89
2007-02-21,116,84
2007-02-22,119,82
2007-02-23,112,75
2007-02-24,116,96
2007-02-25,89,84
2007-02-26,110,69
2007-02-27,120,72
2007-02-28,125,73
2007-03-01,120,90
2007-03-02,154,108
2007-03-03,113,121
2007-03-04,96,80
2007-03-05,128,87
2007-03-06,150,81
2007-03-07,121,94
2007-03-08,139,99
2007-03-09,122,104
2007-03-10,123,133
2007-03-11,100,103
2007-03-12,127,93
2007-03-13,150,93
2007-03-14,129,112
2007-03-15,139,101
2007-03-16,163,119
2007-03-17,102,106
2007-03-18,84,77
2007-03-19,138,91
2007-03-20,131,83
2007-03-21,152,67
2007-03-22,111,81
2007-03-23,149,104
2007-03-24,95,92
2007-03-25,71,68
2007-03-26,133,63
2007-03-27,111,91
2007-03-28,139,89
2007-03-29,120,77
